Tick:    1 | PC: 0000 | Act: 0x0080006F | t0:0 a0:0 a1:0
Tick:  160 | PC: 0080 | Act: STALL      | t0:65560 a0:65536 a1:0
Tick:  161 | PC: 0080 | Act: STALL      | t0:65560 a0:65536 a1:0
Tick:  162 | PC: 0080 | Act: STALL      | t0:65560 a0:65536 a1:0
Tick:  163 | PC: 0080 | Act: STALL      | t0:65560 a0:65536 a1:0
Tick:  164 | PC: 0080 | Act: STALL      | t0:65560 a0:65536 a1:0
Tick:  165 | PC: 0080 | Act: STALL      | t0:65560 a0:65536 a1:0
Tick:  166 | PC: 0080 | Act: STALL      | t0:65560 a0:65536 a1:0
Tick:  167 | PC: 0080 | Act: STALL      | t0:65560 a0:65536 a1:0
Tick:  168 | PC: 0080 | Act: STALL      | t0:65560 a0:65536 a1:0
Tick:  169 | PC: 0080 | Act: STALL      | t0:65560 a0:65536 a1:0
Tick:  170 | PC: 0080 | Act: 0x004E8E93 | t0:65560 a0:65536 a1:0
Tick:  171 | PC: 0084 | Act: 0x01DE2023 | t0:65560 a0:65536 a1:0
Tick:  172 | PC: 0088 | Act: STALL      | t0:65560 a0:65536 a1:0
Tick:  173 | PC: 0088 | Act: STALL      | t0:65560 a0:65536 a1:0
Tick:  174 | PC: 0088 | Act: STALL      | t0:65560 a0:65536 a1:0
Tick:  175 | PC: 0088 | Act: STALL      | t0:65560 a0:65536 a1:0
Tick:  176 | PC: 0088 | Act: STALL      | t0:65560 a0:65536 a1:0
Tick:  177 | PC: 0088 | Act: STALL      | t0:65560 a0:65536 a1:0
Tick:  178 | PC: 0088 | Act: STALL      | t0:65560 a0:65536 a1:0
Tick:  179 | PC: 0088 | Act: STALL      | t0:65560 a0:65536 a1:0
Tick:  180 | PC: 0088 | Act: STALL      | t0:65560 a0:65536 a1:0
Tick:  181 | PC: 0088 | Act: STALL      | t0:65560 a0:65536 a1:0
Tick:  182 | PC: 0088 | Act: 0x30200073 | t0:65560 a0:65536 a1:0
Tick:  183 | PC: 0018 | Act: 0x000102B7 | t0:65536 a0:65536 a1:0
Tick:  184 | PC: 001C | Act: 0x05428293 | t0:65620 a0:65536 a1:0
Tick:  185 | PC: 0020 | Act: 0x0002A303 | t0:65620 a0:65536 a1:0
Tick:  186 | PC: 0024 | Act: STALL      | t0:65620 a0:65536 a1:0
Tick:  187 | PC: 0024 | Act: STALL      | t0:65620 a0:65536 a1:0
Tick:  188 | PC: 0024 | Act: STALL      | t0:65620 a0:65536 a1:0
Tick:  189 | PC: 0024 | Act: STALL      | t0:65620 a0:65536 a1:0
Tick:  190 | PC: 0024 | Act: STALL      | t0:65620 a0:65536 a1:0
Tick:  191 | PC: 0024 | Act: STALL      | t0:65620 a0:65536 a1:0
Tick:  192 | PC: 0024 | Act: STALL      | t0:65620 a0:65536 a1:0
Tick:  193 | PC: 0024 | Act: STALL      | t0:65620 a0:65536 a1:0
Tick:  194 | PC: 0024 | Act: STALL      | t0:65620 a0:65536 a1:0
Tick:  195 | PC: 0024 | Act: STALL      | t0:65620 a0:65536 a1:0
Tick:  196 | PC: 0024 | Act: 0xFE030AE3 | t0:65620 a0:65536 a1:0
Tick:  197 | PC: 0018 | Act: 0x000102B7 | t0:65536 a0:65536 a1:0
Tick:  198 | PC: 001C | Act: 0x05428293 | t0:65620 a0:65536 a1:0
Tick:  199 | PC: 0020 | Act: 0x0002A303 | t0:65620 a0:65536 a1:0
Tick:  200 | PC: 0024 | Act: STALL      | t0:65620 a0:65536 a1:0
Tick:  201 | PC: 0024 | Act: 0xFE030AE3 | t0:65620 a0:65536 a1:0
Tick:  201 | PC: 0024 | Act: TRAP FIRED! | t0:65620 a0:65536 a1:0
Tick:  202 | PC: 0004 | Act: 0x0600006F | t0:65620 a0:65536 a1:0
Tick:  203 | PC: 0064 | Act: 0x001023F3 | t0:65620 a0:65536 a1:0
Tick:  204 | PC: 0068 | Act: 0x00A00F13 | t0:65620 a0:65536 a1:0
Tick:  205 | PC: 006C | Act: 0x03E38063 | t0:65620 a0:65536 a1:0
Tick:  206 | PC: 0070 | Act: 0x00010E37 | t0:65620 a0:65536 a1:0
Tick:  207 | PC: 0074 | Act: 0x050E0E13 | t0:65620 a0:65536 a1:0
Tick:  208 | PC: 0078 | Act: 0x000E2E83 | t0:65620 a0:65536 a1:0
Tick:  209 | PC: 007C | Act: STALL      | t0:65620 a0:65536 a1:0
Tick:  210 | PC: 007C | Act: 0x007EA023 | t0:65620 a0:65536 a1:0
Tick:  211 | PC: 0080 | Act: STALL      | t0:65620 a0:65536 a1:0
Tick:  212 | PC: 0080 | Act: STALL      | t0:65620 a0:65536 a1:0
Tick:  213 | PC: 0080 | Act: STALL      | t0:65620 a0:65536 a1:0
Tick:  214 | PC: 0080 | Act: STALL      | t0:65620 a0:65536 a1:0
Tick:  215 | PC: 0080 | Act: STALL      | t0:65620 a0:65536 a1:0
Tick:  216 | PC: 0080 | Act: STALL      | t0:65620 a0:65536 a1:0
Tick:  217 | PC: 0080 | Act: STALL      | t0:65620 a0:65536 a1:0
Tick:  218 | PC: 0080 | Act: STALL      | t0:65620 a0:65536 a1:0
Tick:  219 | PC: 0080 | Act: STALL      | t0:65620 a0:65536 a1:0
Tick:  220 | PC: 0080 | Act: STALL      | t0:65620 a0:65536 a1:0
Tick:  221 | PC: 0080 | Act: 0x004E8E93 | t0:65620 a0:65536 a1:0
Tick:  222 | PC: 0084 | Act: 0x01DE2023 | t0:65620 a0:65536 a1:0
Tick:  223 | PC: 0088 | Act: STALL      | t0:65620 a0:65536 a1:0
Tick:  224 | PC: 0088 | Act: STALL      | t0:65620 a0:65536 a1:0
Tick:  225 | PC: 0088 | Act: STALL      | t0:65620 a0:65536 a1:0
Tick:  226 | PC: 0088 | Act: STALL      | t0:65620 a0:65536 a1:0
Tick:  227 | PC: 0088 | Act: STALL      | t0:65620 a0:65536 a1:0
Tick:  228 | PC: 0088 | Act: STALL      | t0:65620 a0:65536 a1:0
Tick:  229 | PC: 0088 | Act: STALL      | t0:65620 a0:65536 a1:0
Tick:  230 | PC: 0088 | Act: STALL      | t0:65620 a0:65536 a1:0
Tick:  231 | PC: 0088 | Act: STALL      | t0:65620 a0:65536 a1:0
Tick:  232 | PC: 0088 | Act: STALL      | t0:65620 a0:65536 a1:0
Tick:  233 | PC: 0088 | Act: 0x30200073 | t0:65620 a0:65536 a1:0
Tick:  234 | PC: 0018 | Act: 0x000102B7 | t0:65536 a0:65536 a1:0
Tick:  235 | PC: 001C | Act: 0x05428293 | t0:65620 a0:65536 a1:0
Tick:  236 | PC: 0020 | Act: 0x0002A303 | t0:65620 a0:65536 a1:0
Tick:  237 | PC: 0024 | Act: STALL      | t0:65620 a0:65536 a1:0
Tick:  238 | PC: 0024 | Act: 0xFE030AE3 | t0:65620 a0:65536 a1:0
Tick:  239 | PC: 0018 | Act: 0x000102B7 | t0:65536 a0:65536 a1:0
Tick:  240 | PC: 001C | Act: 0x05428293 | t0:65620 a0:65536 a1:0
Tick:  241 | PC: 0020 | Act: 0x0002A303 | t0:65620 a0:65536 a1:0
Tick:  242 | PC: 0024 | Act: STALL      | t0:65620 a0:65536 a1:0
Tick:  243 | PC: 0024 | Act: 0xFE030AE3 | t0:65620 a0:65536 a1:0
Tick:  244 | PC: 0018 | Act: 0x000102B7 | t0:65536 a0:65536 a1:0
Tick:  245 | PC: 001C | Act: 0x05428293 | t0:65620 a0:65536 a1:0
Tick:  246 | PC: 0020 | Act: 0x0002A303 | t0:65620 a0:65536 a1:0
Tick:  247 | PC: 0024 | Act: STALL      | t0:65620 a0:65536 a1:0
Tick:  248 | PC: 0024 | Act: 0xFE030AE3 | t0:65620 a0:65536 a1:0
Tick:  249 | PC: 0018 | Act: 0x000102B7 | t0:65536 a0:65536 a1:0
Tick:  250 | PC: 001C | Act: 0x05428293 | t0:65620 a0:65536 a1:0
Tick:  250 | PC: 001C | Act: TRAP FIRED! | t0:65620 a0:65536 a1:0
Tick:  251 | PC: 0004 | Act: 0x0600006F | t0:65620 a0:65536 a1:0
Tick:  252 | PC: 0064 | Act: 0x001023F3 | t0:65620 a0:65536 a1:0
Tick:  253 | PC: 0068 | Act: 0x00A00F13 | t0:65620 a0:65536 a1:0
Tick:  254 | PC: 006C | Act: 0x03E38063 | t0:65620 a0:65536 a1:0
Tick:  255 | PC: 0070 | Act: 0x00010E37 | t0:65620 a0:65536 a1:0
Tick:  256 | PC: 0074 | Act: 0x050E0E13 | t0:65620 a0:65536 a1:0
Tick:  257 | PC: 0078 | Act: 0x000E2E83 | t0:65620 a0:65536 a1:0
Tick:  258 | PC: 007C | Act: STALL      | t0:65620 a0:65536 a1:0
Tick:  259 | PC: 007C | Act: 0x007EA023 | t0:65620 a0:65536 a1:0
Tick:  260 | PC: 0080 | Act: STALL      | t0:65620 a0:65536 a1:0
Tick:  261 | PC: 0080 | Act: STALL      | t0:65620 a0:65536 a1:0
Tick:  262 | PC: 0080 | Act: STALL      | t0:65620 a0:65536 a1:0
Tick:  263 | PC: 0080 | Act: STALL      | t0:65620 a0:65536 a1:0
Tick:  264 | PC: 0080 | Act: STALL      | t0:65620 a0:65536 a1:0
Tick:  265 | PC: 0080 | Act: STALL      | t0:65620 a0:65536 a1:0
Tick:  266 | PC: 0080 | Act: STALL      | t0:65620 a0:65536 a1:0
Tick:  267 | PC: 0080 | Act: STALL      | t0:65620 a0:65536 a1:0
Tick:  268 | PC: 0080 | Act: STALL      | t0:65620 a0:65536 a1:0
Tick:  269 | PC: 0080 | Act: STALL      | t0:65620 a0:65536 a1:0
Tick:  270 | PC: 0080 | Act: 0x004E8E93 | t0:65620 a0:65536 a1:0
Tick:  271 | PC: 0084 | Act: 0x01DE2023 | t0:65620 a0:65536 a1:0
Tick:  272 | PC: 0088 | Act: STALL      | t0:65620 a0:65536 a1:0
Tick:  273 | PC: 0088 | Act: STALL      | t0:65620 a0:65536 a1:0
Tick:  274 | PC: 0088 | Act: STALL      | t0:65620 a0:65536 a1:0
Tick:  275 | PC: 0088 | Act: STALL      | t0:65620 a0:65536 a1:0
Tick:  276 | PC: 0088 | Act: STALL      | t0:65620 a0:65536 a1:0
Tick:  277 | PC: 0088 | Act: STALL      | t0:65620 a0:65536 a1:0
Tick:  278 | PC: 0088 | Act: STALL      | t0:65620 a0:65536 a1:0
Tick:  279 | PC: 0088 | Act: STALL      | t0:65620 a0:65536 a1:0
Tick:  280 | PC: 0088 | Act: STALL      | t0:65620 a0:65536 a1:0
Tick:  281 | PC: 0088 | Act: STALL      | t0:65620 a0:65536 a1:0
Tick:  282 | PC: 0088 | Act: 0x30200073 | t0:65620 a0:65536 a1:0
Tick:  283 | PC: 0020 | Act: 0x0002A303 | t0:65620 a0:65536 a1:0
Tick:  284 | PC: 0024 | Act: STALL      | t0:65620 a0:65536 a1:0
Tick:  285 | PC: 0024 | Act: 0xFE030AE3 | t0:65620 a0:65536 a1:0
Tick:  286 | PC: 0018 | Act: 0x000102B7 | t0:65536 a0:65536 a1:0
Tick:  287 | PC: 001C | Act: 0x05428293 | t0:65620 a0:65536 a1:0
Tick:  288 | PC: 0020 | Act: 0x0002A303 | t0:65620 a0:65536 a1:0
Tick:  289 | PC: 0024 | Act: STALL      | t0:65620 a0:65536 a1:0
Tick:  290 | PC: 0024 | Act: 0xFE030AE3 | t0:65620 a0:65536 a1:0
Tick:  291 | PC: 0018 | Act: 0x000102B7 | t0:65536 a0:65536 a1:0
Tick:  292 | PC: 001C | Act: 0x05428293 | t0:65620 a0:65536 a1:0
Tick:  293 | PC: 0020 | Act: 0x0002A303 | t0:65620 a0:65536 a1:0
Tick:  294 | PC: 0024 | Act: STALL      | t0:65620 a0:65536 a1:0
